"id","uid","user","num_changes","date","imagery_used","hashtags","created_by","min_lat","max_lat","min_lon","max_lon"
"88516373","109705","gscholz","1","2020-07-26",,,"JOSM/1.5 (16731 de)","-27.5561710","-27.5527539","-56.6973683","-56.6960192"
"88516372","108446","Dennis Kjær Jensen","2","2020-07-26",,,"StreetComplete 21.2","55.5921165","55.5927869","12.6721952","12.6731926"
"88516371","5853944","Александр Кухно","17","2020-07-26","Maxar-Premium;osm-gps",,"iD 2.18.3","63.0446657","63.0703860","32.5942090","32.6715770"
"88516370","10131974","Romandsty","54","2020-07-26",,,"JOSM/1.5 (15155 ru)","53.0394382","53.0441383","44.8888301","44.8942244"
"88516369","108446","Dennis Kjær Jensen","2","2020-07-26",,,"StreetComplete 21.2","55.5921165","55.5927869","12.6721952","12.6731926"
"88516368","352655","benjidad","121","2020-07-26",,,"JOSM/1.5 (16731 en)","-2.7489948","-2.7346748","120.2914309","120.2963367"
"88516367","3068577","ainki","7","2020-07-26",,,"JOSM/1.5 (16731 en_GB)","60.1528520","60.1543294","24.6417288","24.6457973"
"88516366","109705","gscholz","1","2020-07-26",,,"JOSM/1.5 (16731 de)","-27.5793487","-27.5777106","-56.7063323","-56.7033577"
"88516365","261189","Wright One","26","2020-07-26",,,"Level0 v1.2","31.0360833","31.3136667","121.7084167","122.2734722"
"88516364","3216975","editor88","1","2020-07-26",,,"StreetComplete 22.0-beta1","54.6960053","54.6967432","25.2428629","25.2454167"
"88516363","11039596","Geomaplex","1","2020-07-26","Metropole_Ruhr_RVR-DOP10",,"iD 2.18.3","51.4385633","51.4385633","6.6655569","6.6655569"
"88516362","10471608","Benjaminokeyoh1","52","2020-07-26",,"#hotosm-project-9053;#HOTMicrogrant;#covid19;#MapUganda","JOSM/1.5 (16731 en)","-0.5273671","-0.5217911","31.6689277","31.6723421"
"88516361","137242","Rainero","1","2020-07-26",,,"JOSM/1.5 (16731 de)","48.1266692","48.1266692","11.5030758","11.5030758"
"88516360","11393268","LoliMarm","262","2020-07-26","Custom (https://services.digitalglobe.com/earthservice/tmsaccess/tms/1.0.0/DigitalGlobe:ImageryTileService@EPSG:3857@jpg/{z}/{x}/{-y}.jpg?connectId={apikey} );.gpx data file","#hotosm-project-8733;#EducateGirls;#accenture;#acnfrancefy20","iD 2.17.3","25.4645476","25.4729692","80.2880624","80.2957529"
"88516359","1556747","Maris33","1","2020-07-26",,,"JOSM/1.5 (16731 en)","56.9456151","56.9460268","24.1056420","24.1063575"
"88516358","5406836","s88239","1","2020-07-26",,,"JOSM/1.5 (16731 en)","23.1026268","23.1026268","120.3531763","120.3531763"
"88516357","109705","gscholz","5","2020-07-26",,,"JOSM/1.5 (16731 de)","-27.5550677","-27.5357784","-56.9333142","-56.9307768"
"88516356","10947284","Steve J H","9","2020-07-26","Custom (https://tiles.openaerialmap.org/5eba341080832d00073367a4/0/5eba341080832d00073367a5/{z}/{x}/{y}.png );.gpx data file","#hotosm-project-8697","iD 2.17.3","-14.0670876","-14.0666386","33.8033279","33.8058047"
